Bolasie Yannick,everton,8.7
Davies Tom,everton,6.9
Denny Alexander,everton,4.5
Duke-McKenna Stephen,everton,4.5
Gordon Anthony,everton,4.5
Gueye Idrissa,everton,6.5
Hornby Fraser,everton,4.5
Klaassen Davy,everton,9.4
Lavery Shayne,everton,4.5
McCarthy James,everton,6.6
Schneiderlin Morgan,everton,6.4
Sigurdsson Gylfi,everton,10.9
Vlasic Nikola,everton,7.3
Billing Philip,huddersfield,6
Hadergjonaj Florent,huddersfield,6.1
Hogg Jonathan,huddersfield,6
Mooy Aaron,huddersfield,7.2
O'Brien Lewis,huddersfield,4.5
Pritchard Alex,huddersfield,7.3
Whitehead Dean,huddersfield,5.8
Williams Daniel,huddersfield,6.5
van La Parra Rajiv,huddersfield,6.5
Albrighton Marc,leicester,7.6
Amartey Daniel,leicester,5.8
Barnes Harvey,leicester,7
Diabate Fousseni,leicester,6.8
Gray Demarai,leicester,7.2
Iborra,leicester,7.7
James Matthew,leicester,6
Mahrez Riyad,leicester,11.8
Silva Adrien,leicester,8.1
Thomas George,leicester,6.1
Can Emre,liverpool,6.1
Henderson Jordan,liverpool,7.2
Lallana Adam,liverpool,9.9
Mané Sadio,liverpool,12.8
Oxlade-C. Alex,liverpool,7.6
Salah Mohamed,liverpool,14.3
Wijnaldum Georginio,liverpool,9
De Bruyne Kevin,manchester city,14.1
Dele-Bashiru Ayotomiwa,manchester city,4.5
Delph Fabian,manchester city,6.1
Díaz Brahim,manchester city,6.4
Fernandinho,manchester city,6.9
Foden Phil,manchester city,6.4
Gündogan Ilkay,manchester city,7.2
Sané Leroy,manchester city,11.3
Silva Bernardo,manchester city,10
Silva David,manchester city,10.7
Sterling Raheem,manchester city,12.1
Touré Yaya,manchester city,8.1
Zinchenko Oleksandr,manchester city,6.8
Blind Daley,manchester utd,6.9
Carrick Michael,manchester utd,5.7
Fellaini Marouane,manchester utd,6.4
Gomes Angel,manchester utd,6.1
Hamilton Ethan,manchester utd,4.5
Herrera Ander,manchester utd,6.8
Lingard Jesse,manchester utd,8.3
Mata Juan Manuel,manchester utd,9.2
Matic Nemanja,manchester utd,6.4
McTominay Scott,manchester utd,5.7
Pogba Paul,manchester utd,10.7
Young Ashley,manchester utd,6.6
Diamé Mohamed,newcastle,6.2
Kenedy,newcastle,6.4
Merino Mikel,newcastle,6.8
Murphy Jacob,newcastle,6.8
Ritchie Matt,newcastle,7.3
Shelvey Jonjo,newcastle,7
Boufal Sofiane,southampton,7.7
Davis Steven,southampton,6.4
Hojbjerg Pierre-Emile,southampton,5.8
Lemina Mario,southampton,6.5
McQueen Sam,southampton,5.7
Redmond Nathan,southampton,8
Romeu Oriol,southampton,5.8
Sims Joshua,southampton,5.8
Tadic Dusan,southampton,8.4
Ward-Prowse James,southampton,6.9
Adam Charles Graham,stoke,6.4
Afellay Ibrahim,stoke,6.5
Allen Joe,stoke,6.9
Cameron Geoff,stoke,5.8
Fletcher Darren,stoke,6.5
Ireland Stephen,stoke,6.1
Ndiaye Papa,stoke,7.5
Shaqiri Xherdan,stoke,8.4
Sobhi Ramadan,stoke,6.1
Ayew André,swansea,9.2
Britton Leon,swansea,6
Carroll Thomas,swansea,5.8
Clucas Sam,swansea,6.4
Dyer Nathan,swansea,6
Fer Leroy,swansea,7
Ki Sung-Yong,swansea,6.6
King Andy,swansea,5.7
Maric Adnan,swansea,4.5
Routledge Wayne,swansea,6.9
Sanches Renato,swansea,5.8
Alli Dele,tottenham,12.1
Dembélé Mousa,tottenham,6.6
Dier Eric,tottenham,6.4
Eriksen Christian,tottenham,12.6
Georgiou Anthony,tottenham,4.5
Lamela Erik,tottenham,8.5
Lucas,tottenham,10.9
Oakley-Boothe Tashan,tottenham,6.1
Sissoko Moussa,tottenham,7.2
Wanyama Victor,tottenham,6.5
Winks Harry,tottenham,6.5
Capoue Etienne,watford,6.5
Chalobah Nathaniel,watford,5.7
Cleverley Tom,watford,6.8
Deulofeu Gerard,watford,8.1
Doucouré Abdoulaye,watford,7.5
Hughes Will,watford,6.2
Kiko,watford,5.8
Ndong Didier,watford,6.1
Pereyra Roberto,watford,7.9
Barry Gareth,west brom,6.1
Brunt Chris,west brom,6.8
Burke Oliver,west brom,6.6
Chadli Nacer,west brom,7.6
Ferguson Nathan,west brom,5.4
Field Sam,west brom,6.1
Harper Rekeem,west brom,6.1
Krychowiak Grzegorz,west brom,6.5
Livermore Jake,west brom,6.5
McClean James,west brom,6.4
Morrison James,west brom,7.3
Phillips Matt,west brom,7.3
Robson-Kanu Hal,west brom,6.6
Tulloch Rayhaan Rahim Amari,west brom,6.1
Yacob Claudio,west brom,5.8
Antonio Michail,west ham,10
Byram Samuel,west ham,5.7
Cullen Josh,west ham,6.1
Diangana Grady,west ham,4.5
Fernandes Edimilson,west ham,6
Haksabanovic Sead,west ham,6.8
Kouyaté Cheikhou,west ham,6.8
Lanzini Manuel,west ham,9
Mario Joao,west ham,8.7
Noble Mark,west ham,7.2
Obiang Pedro,west ham,5.8
Quina Domingos,west ham,6
Rice Declan,west ham,6
Aubameyang Pierre-Emerick,arsenal,14.3
Lacazette Alexandre,arsenal,13.9
Nelson Reiss,arsenal,6.4
Nketiah Edward,arsenal,6.8
Welbeck Danny,arsenal,9.9
Willock Joseph,arsenal,4.5
Defoe Jermain,bournemouth,10.3
Ibe Jordon,bournemouth,6.6
King Joshua,bournemouth,9.5
Ndjoli Mikael,bournemouth,4.5
Wilson Callum,bournemouth,8.1
Baldock Sam,brighton,6.6
Hemed Tomer,brighton,6.4
Izquierdo Jose,brighton,8
Locadia Jurgen,brighton,8.1
Murray Glenn,brighton,7.7
Ulloa Leonardo,brighton,6.5
Barnes Ashley,burnley,7
Gudmundsson Johann,burnley,6.9
Lennon Aaron,burnley,7.3
Vokes Sam,burnley,7.7
Walters Jonathan,burnley,6.9
Wells Nahki,burnley,6.6
Wood Chris,burnley,8.4
Giroud Olivier,chelsea,11.1
Morata Álvaro,chelsea,14.1
Benteke Christian,crystal palace,10.3
Eyenga-Lokilo Jason,crystal palace,4.5
Lee Chung-Yong,crystal palace,5.7
Rakip Erdal,crystal palace,6.8
Schlupp Jeffery,crystal palace,6.4
Sorloth Alexander,crystal palace,4.5
Zaha Wilfried,crystal palace,9.2
Broadhead Nathan,everton,4.5
Calvert-Lewin Dominic,everton,6.9
Niasse Oumar,everton,6.6
Rooney Wayne,everton,9.8
Tosun Cenk,everton,9.2
Walcott Theo,everton,9.9
Depoitre Laurent,huddersfield,7
Ince Tom,huddersfield,7.5
Kachunga Elias,huddersfield,7.7
Mounie Steve,huddersfield,7.7
Quaner Collin,huddersfield,6.2
Scannell Sean,huddersfield,6.1
Iheanacho Kelechi,leicester,8.8
Okazaki Shinji,leicester,7.2
Vardy Jamie,leicester,0
Firmino Roberto,liverpool,12.6
Ings Danny,liverpool,7.3
Solanke Dominic,liverpool,6.4
Woodburn Benjamin,liverpool,5.7
Agüero Sergio,manchester city,16.3
Gabriel Jesus,manchester city,13.5
Nmecha Lukas,manchester city,6.1
Ibrahimovic Zlatan,manchester utd,12.9
Lukaku Romelu,manchester utd,15.2
Martial Anthony,manchester utd,10.9
Rashford Marcus,manchester utd,10
Sánchez Alexis,manchester utd,15.9
Atsu Christian,newcastle,6.5
Gayle Dwight,newcastle,8.3
Joselu,newcastle,7.5
Pérez Ayoze,newcastle,7
Slimani Islam,newcastle,9
Austin Charlie,southampton,8
Carrillo Guido,southampton,8.8
Gabbiadini Manolo,southampton,8.4
Long Shane,southampton,7.6
Obafemi Michael,southampton,6.1
Pied Jeremy,southampton,5.7
Berahino Saido,stoke,7.6
Campbell Tyrese,stoke,6.1
Choupo-Moting Maxim,stoke,7.3
Crouch Peter,stoke,6.5
Diouf Mame,stoke,7.2
Jesé,stoke,7.3
Abraham Tammy,swansea,7.3
Ayew Jordan,swansea,7.3
Bony Wilfried,swansea,7.7
Narsingh Luciano,swansea,6.4
Kane Harry,tottenham,17.5
Llorente Fernando,tottenham,9.9
Son Heung-Min,tottenham,11
Sterling Kazaiah,tottenham,4.5
Carrillo Andre,watford,7.5
Deeney Troy,watford,8.5
Gray Andre,watford,8.5
Okaka Stefano,watford,7.2
Richarlison,watford,8.3
Sinclair Jerome,watford,6.6
Leko Jonathan,west brom,6.1
Rodriguez Jay,west brom,7.5
Rondón Jose,west brom,8.1
Sturridge Daniel,west brom,10.7
Afolayan Oladapo,west ham,4.5
Arnautovic Marko,west ham,9.4
Carroll Andrew,west ham,5.8
Chicharito,west ham,9.1
Holland Nathan,west ham,4.5
Hugill Jordan,west ham,7.3
Johnson Benjamin,west ham,6.1
